Contratada no ano A
(MW médio)","Energia
Contratada no ano A+1
(MW médio)","Energia
Contratada no ano A+2
(MW médio)","Energia
Contratada no ano A+3
,17,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,RIO PARANAPAN,02.998.301/0001-81,2005-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,214,214,214,214.000,214.000,214.000,214.000,214.000,"15,007,392.000",59.98,R$/MWh,0.00,0.00,"900,143,372.16",#REF!,#REF!,0.00,0.00,0.00,1/1/2005,12/31/2012,Não,"2,378.47",#REF!
,18,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,COPEL GET,04.370.282/0001-70,2005-08,-,-,Sem Pendências,-,-,-,S,0.00,#REF!,0.000,,,0.000,0.000,1.0,980,980,980,980.000,980.000,980.000,980.000,980.000,"68,725,440.000",57.50,R$/MWh,0.00,0.00,"3,951,712,800.00",#REF!,#REF!,0.00,0.00,0.00,1/1/2005,12/31/2012,Não,"2,378.47",#REF!
,19,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,ENERGEST,04.029.601/0001-88,2005-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,87,87,87,87.000,87.000,87.000,87.000,87.000,"6,101,136.000",57.00,R$/MWh,0.00,0.00,"347,764,752.00",#REF!,#REF!,0.00,0.00,0.00,1/1/2005,12/31/2012,Não,"2,378.47",#REF!
,20,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,EMAE,02.302.101/0001-42,2005-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,85,85,85,85.000,85.000,85.000,85.000,85.000,"5,960,880.000",60.84,R$/MWh,0.00,0.00,"362,659,939.20",#REF!,#REF!,0.00,0.00,0.00,1/1/2005,12/31/2012,Não,"2,378.47",#REF!
,21,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,CESP,60.933.603/0001-78,2005-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,800,800,800,800.000,800.000,800.000,800.000,800.000,"56,102,400.000",62.10,R$/MWh,0.00,0.00,"3,483,959,040.00",#REF!,#REF!,0.00,0.00,0.00,1/1/2005,12/31/2012,Não,"2,378.47",#REF!
,22,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,CHESF,33.541.368/0001-16,2005-08,-,-,Sem Pendências,-,-,-,NE,0.00,#REF!,0.000,,,0.000,0.000,1.0,"2,500","2,500","2,500","2,500.000","2,500.000","2,500.000","2,500.000","2,500.000","175,320,000.000",52.79,R$/MWh,0.00,0.00,"9,255,142,800.00",#REF!,#REF!,0.00,0.00,0.00,1/1/2005,12/31/2012,Não,"2,378.47",#REF!
,23,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,CEMIG GERACAO,06.981.176/0001-58,2006-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,927,927,927,927.000,927.000,927.000,927.000,927.000,"65,008,656.000",69.58,R$/MWh,0.00,0.00,"4,523,302,284.48",#REF!,#REF!,0.00,0.00,0.00,1/1/2006,12/31/2013,Não,"2,378.47",#REF!
,24,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,CEEE,92.715.812/0001-31,2006-08,-,-,Sem Pendências,-,-,-,S,0.00,#REF!,0.000,,,0.000,0.000,1.0,152,152,152,152.000,152.000,152.000,152.000,152.000,"10,659,456.000",67.87,R$/MWh,0.00,0.00,"723,457,278.72",#REF!,#REF!,0.00,0.00,0.00,1/1/2006,12/31/2013,Não,"2,378.47",#REF!
,25,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,CESP,60.933.603/0001-78,2006-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,"1,178","1,178","1,178","1,178.000","1,178.000","1,178.000","1,178.000","1,178.000","82,610,784.000",68.37,R$/MWh,0.00,0.00,"5,648,099,302.08",#REF!,#REF!,0.00,0.00,0.00,1/1/2006,12/31/2013,Não,"2,378.47",#REF!
,26,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,FURNAS,23.274.194/0001-19,2005-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,"2,861","2,861","2,861","2,860.680","2,860.680","2,860.680","2,860.680","2,860.680","200,613,767.040",60.94,R$/MWh,0.00,0.00,"12,225,402,963.42",#REF!,#REF!,0.00,0.00,0.00,1/1/2005,12/31/2012,Não,"2,378.47",#REF!
,27,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,FURNAS,23.274.194/0001-19,2005-08,-,-,Sem Pendências,-,-,-,S,0.00,#REF!,0.000,,,0.000,0.000,1.0,215,215,215,215.320,215.320,215.320,215.320,215.320,"15,099,960.960",60.94,R$/MWh,0.00,0.00,"920,191,620.90",#REF!,#REF!,0.00,0.00,0.00,1/1/2005,12/31/2012,Não,"2,378.47",#REF!
,28,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,LIGHT,01.917.818/0001-36,2005-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,380,380,380,380.000,380.000,380.000,380.000,380.000,"26,648,640.000",51.73,R$/MWh,0.00,0.00,"1,378,534,147.20",#REF!,#REF!,0.00,0.00,0.00,1/1/2005,12/31/2012,Não,"2,378.47",#REF!
,29,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,FURNAS,23.274.194/0001-19,2007-08,-,-,Sem Pendências,-,-,-,S,0.00,#REF!,0.000,,,0.000,0.000,1.0,11,11,11,10.500,10.500,10.500,10.500,10.500,"736,344.000",77.70,R$/MWh,0.00,0.00,"57,213,928.80",#REF!,#REF!,0.00,0.00,0.00,1/1/2007,12/31/2014,Não,"2,378.47",#REF!
,30,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,FURNAS,23.274.194/0001-19,2007-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,140,140,140,139.500,139.500,139.500,139.500,139.500,"9,782,856.000",77.70,R$/MWh,0.00,0.00,"760,127,911.20",#REF!,#REF!,0.00,0.00,0.00,1/1/2007,12/31/2014,Não,"2,378.47",#REF!
,31,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,ENGIE BR GER,02.474.103/0001-19,2007-08,-,-,Sem Pendências,-,-,-,S,0.00,#REF!,0.000,,,0.000,0.000,1.0,10,10,10,10.000,10.000,10.000,10.000,10.000,"701,280.000",70.89,R$/MWh,0.00,0.00,"49,713,739.20",#REF!,#REF!,0.00,0.00,0.00,1/1/2007,12/31/2014,Não,"2,378.47",#REF!
,32,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,EMAE,02.302.101/0001-42,2007-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,5,5,5,5.000,5.000,5.000,5.000,5.000,"350,640.000",75.75,R$/MWh,0.00,0.00,"26,560,980.00",#REF!,#REF!,0.00,0.00,0.00,1/1/2007,12/31/2014,Não,"2,378.47",#REF!
,33,2005,LEE,02ºLEE,Leilão de Energia Existente,001/2005,ELETRONORTE,00.357.038/0001-16,2008-08,-,-,Sem Pendências,-,-,-,N,0.00,#REF!,0.000,,,0.000,0.000,1.0,90,90,90,90.000,90.000,90.000,90.000,90.000,"6,311,520.000",83.47,R$/MWh,0.00,0.00,"526,822,574.40",#REF!,#REF!,0.00,0.00,0.00,1/1/2008,12/31/2015,Não,"2,441.87",#REF!
,34,2005,LEE,02ºLEE,Leilão de Energia Existente,001/2005,CELPA,04.895.728/0001-80,2008-08,-,-,Sem Pendências,-,-,-,N,0.00,#REF!,0.000,,,0.000,0.000,1.0,23,23,23,23.000,23.000,23.000,23.000,23.000,"1,612,944.000",83.50,R$/MWh,0.00,0.00,"134,680,824.00",#REF!,#REF!,0.00,0.00,0.00,1/1/2008,12/31/2015,Não,"2,441.87",#REF!
,35,2005,LEE,02ºLEE,Leilão de Energia Existente,001/2005,COPEL GET,04.370.282/0001-70,2008-08,-,-,Sem Pendências,-,-,-,S,0.00,#REF!,0.000,,,0.000,0.000,1.0,80,80,80,80.000,80.000,80.000,80.000,80.000,"5,610,240.000",82.32,R$/MWh,0.00,0.00,"461,834,956.80",#REF!,#REF!,0.00,0.00,0.00,1/1/2008,12/31/2015,Não,"2,441.87",#REF!
,36,2005,LEE,02ºLEE,Leilão de Energia Existente,001/2005,ENGIE BR COM,04.100.556/0001-00,2008-08,-,-,Sem Pendências,-,-,-,S,0.00,#REF!,0.000,,,0.000,0.000,1.0,150,150,150,150.000,150.000,150.000,150.000,150.000,"10,519,200.000",81.55,R$/MWh,0.00,0.00,"857,840,760.00",#REF!,#REF!,0.00,0.00,0.00,1/1/2008,12/31/2015,Não,"2,441.87",#REF!
,37,2005,LEE,02ºLEE,Leilão de Energia Existente,001/2005,ENERGEST,04.029.601/0001-88,2008-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,20,20,20,20.000,20.000,20.000,20.000,20.000,"1,402,560.000",78.50,R$/MWh,0.00,0.00,"110,100,960.00",#REF!,#REF!,0.00,0.00,0.00,1/1/2008,12/31/2015,Não,"2,441.87",#REF!
