Date,Country,VRE,Thermal,Hydro,Other,sum_check_pct,VRE_12MA,Hydro_12MA,Thermal_12MA,Other_12MA,HydroSwing
2018-01-01,Argentina,0.47,65.44,28.92,5.18,100.00999999999999,,,,,
2018-02-01,Argentina,0.43,66.84,27.72,5.02,100.01,,,,,
2018-03-01,Argentina,0.43,66.44,28.57,4.56,100.0,,,,,
2018-04-01,Argentina,0.55,65.01,28.91,5.52,99.99,,,,,
2018-05-01,Argentina,0.55,64.97,27.39,7.09,100.0,,,,,
2018-06-01,Argentina,0.73,65.88,26.97,6.42,100.0,,,,,
2018-07-01,Argentina,0.69,65.11,28.37,5.82,99.99000000000001,,,,,
2018-08-01,Argentina,1.24,63.86,29.03,5.87,100.0,,,,,
2018-09-01,Argentina,1.57,66.76,28.25,3.42,100.00000000000001,,,,,
2018-10-01,Argentina,1.9300000000000002,59.17,34.65,4.25,100.0,,,,,
2018-11-01,Argentina,2.31,54.82,38.82,4.05,100.0,,,,,
2018-12-01,Argentina,2.71,59.65,35.47,2.17,100.0,1.1341666666666665,30.25583333333333,63.6625,4.9475,
2019-01-01,Argentina,2.81,64.51,30.8,1.88,100.0,1.3291666666666666,30.412499999999998,63.585,4.6725,
2019-02-01,Argentina,2.46,69.73,24.79,3.0,99.98,1.4983333333333333,30.168333333333337,63.82583333333334,4.504166666666666,
2019-03-01,Argentina,3.5199999999999996,60.9,30.01,5.569999999999999,100.0,1.7558333333333334,30.288333333333338,63.36416666666667,4.588333333333334,
2019-04-01,Argentina,3.9000000000000004,59.86,29.36,6.88,100.0,2.0349999999999997,30.325833333333332,62.935,4.701666666666666,
2019-05-01,Argentina,3.54,58.09,29.95,8.42,100.00000000000001,2.2841666666666667,30.53916666666667,62.36166666666666,4.8125,
2019-06-01,Argentina,4.1499999999999995,61.11,27.37,7.37,100.0,2.569166666666667,30.5725,61.964166666666664,4.891666666666667,
2019-07-01,Argentina,3.8200000000000003,63.88,25.81,6.5,100.01,2.83,30.359166666666667,61.86166666666667,4.948333333333333,
2019-08-01,Argentina,4.4799999999999995,58.79,28.71,8.02,99.99999999999999,3.0999999999999996,30.3325,61.43916666666667,5.1275,
2019-09-01,Argentina,5.84,56.87,28.53,8.75,99.99000000000001,3.455833333333333,30.355833333333333,60.615,5.571666666666666,
2019-10-01,Argentina,5.85,59.81,27.08,7.2700000000000005,100.01,3.7825,29.725000000000005,60.66833333333333,5.823333333333333,
2019-11-01,Argentina,6.38,57.84,28.17,7.609999999999999,100.00000000000001,4.121666666666666,28.837499999999995,60.92000000000001,6.12,
2019-12-01,Argentina,6.25,60.46,26.5,6.77,99.98,4.416666666666667,28.09,60.987500000000004,6.503333333333334,
2020-01-01,Argentina,6.35,61.62,25.34,6.680000000000001,99.99000000000001,4.711666666666667,27.635,60.74666666666667,6.903333333333333,
2020-02-01,Argentina,6.52,62.38,23.68,7.42,100.0,5.05,27.5425,60.134166666666665,7.271666666666667,
2020-03-01,Argentina,6.489999999999999,65.47,19.74,8.290000000000001,99.99,5.2975,26.686666666666667,60.51499999999999,7.498333333333334,
2020-04-01,Argentina,7.68,61.29,19.69,11.34,100.0,5.6125,25.88083333333333,60.634166666666665,7.87,
2020-05-01,Argentina,7.95,59.99,21.55,10.53,100.02000000000001,5.9799999999999995,25.18083333333333,60.7925,8.045833333333333,
2020-06-01,Argentina,7.1,59.17,24.73,8.99,99.99,6.225833333333333,24.96083333333333,60.630833333333335,8.180833333333334,
2020-07-01,Argentina,6.79,57.04,29.54,6.63,100.0,6.473333333333333,25.271666666666665,60.060833333333335,8.191666666666666,
2020-08-01,Argentina,9.290000000000001,57.83,24.04,8.84,100.0,6.8741666666666665,24.882499999999997,59.98083333333333,8.26,
2020-09-01,Argentina,9.47,56.81,24.44,9.27,99.99,7.176666666666667,24.541666666666668,59.97583333333333,8.303333333333333,
2020-10-01,Argentina,9.9,60.84,22.06,7.2,100.00000000000001,7.514166666666667,24.12333333333333,60.06166666666667,8.297500000000001,
2020-11-01,Argentina,9.06,66.41,18.03,6.489999999999999,99.99,7.737500000000001,23.278333333333336,60.77583333333333,8.204166666666667,
2020-12-01,Argentina,9.74,66.17,18.05,6.05,100.01,8.028333333333334,22.574166666666667,61.251666666666665,8.144166666666665,
2021-01-01,Argentina,9.690000000000001,66.95,17.53,5.82,99.99000000000001,8.306666666666667,21.923333333333332,61.69583333333333,8.0725,-9.443333333333332
2021-02-01,Argentina,9.14,61.06,24.31,5.4799999999999995,99.99000000000001,8.525,21.97583333333333,61.58583333333333,7.910833333333334,-2.34694444444445
2021-03-01,Argentina,9.65,65.13,18.43,6.78,99.99,8.788333333333334,21.866666666666664,61.557500000000005,7.784999999999999,-8.132222222222222
2021-04-01,Argentina,10.950000000000001,67.35,15.78,5.92,100.0,9.060833333333333,21.540833333333335,62.0625,7.333333333333333,-10.500555555555552
2021-05-01,Argentina,10.24,63.67,18.97,7.12,100.0,9.251666666666667,21.325833333333332,62.369166666666665,7.049166666666667,-6.945833333333336
2021-06-01,Argentina,9.840000000000002,66.08,14.72,9.360000000000001,100.0,9.48,20.491666666666667,62.94499999999999,7.079999999999999,-10.961944444444443
2021-07-01,Argentina,11.040000000000001,65.09,14.52,9.34,99.99000000000001,9.834166666666668,19.240000000000002,63.615833333333335,7.305833333333333,-10.821666666666665
2021-08-01,Argentina,10.81,66.78,13.17,9.25,100.01,9.960833333333333,18.334166666666665,64.36166666666666,7.34,-11.786944444444442
2021-09-01,Argentina,10.94,60.58,20.63,7.85,100.0,10.083333333333334,18.016666666666666,64.67583333333333,7.221666666666667,-3.8863888888888916
2021-10-01,Argentina,13.38,54.95,22.57,9.1,100.0,10.373333333333333,18.059166666666666,64.185,7.38,-1.7347222222222243
2021-11-01,Argentina,12.2,58.51,19.12,10.180000000000001,100.01,10.635,18.15,63.52666666666667,7.6875,-4.849166666666665
2021-12-01,Argentina,10.52,64.87,15.94,8.67,100.00000000000001,10.700000000000001,17.974166666666665,63.41833333333333,7.905833333333334,-7.4819444444444425
2022-01-01,Argentina,10.7,65.98,15.42,7.890000000000001,99.99,10.784166666666666,17.798333333333336,63.337500000000006,8.078333333333333,-7.459444444444445
2022-02-01,Argentina,11.91,65.75,13.37,8.97,100.0,11.015,16.886666666666667,63.72833333333333,8.369166666666667,-9.082222222222223
2022-03-01,Argentina,13.59,63.68,15.28,7.46,100.00999999999999,11.343333333333334,16.624166666666667,63.607499999999995,8.425833333333335,-6.855000000000002
2022-04-01,Argentina,13.870000000000001,57.32,21.63,7.180000000000001,100.0,11.586666666666666,17.111666666666668,62.771666666666675,8.530833333333334,-0.09583333333333499
2022-05-01,Argentina,11.64,61.56,20.49,6.31,100.0,11.703333333333333,17.238333333333333,62.59583333333333,8.463333333333333,-1.0211111111111109
2022-06-01,Argentina,9.91,59.39,24.5,6.18,99.97999999999999,11.709166666666668,18.05333333333333,62.03833333333333,8.198333333333334,3.2516666666666687
2022-07-01,Argentina,11.57,60.58,20.83,7.03,100.00999999999999,11.753333333333332,18.579166666666666,61.6625,8.005833333333333,-0.33861111111110986
2022-08-01,Argentina,12.44,54.19,24.01,9.350000000000001,99.99000000000001,11.889166666666666,19.482499999999998,60.61333333333334,8.014166666666666,2.9797222222222217
2022-09-01,Argentina,13.84,54.48,23.71,7.97,100.0,12.130833333333333,19.739166666666666,60.105,8.024166666666668,2.8102777777777774
2022-10-01,Argentina,15.13,47.25,36.04,1.58,100.0,12.276666666666666,20.861666666666668,59.46333333333333,7.3975,15.274166666666666
2022-11-01,Argentina,12.4,53.66,32.82,1.12,100.0,12.293333333333335,22.003333333333334,59.05916666666666,6.642500000000001,11.805277777777778
2022-12-01,Argentina,11.98,60.76,23.41,3.83,99.98,12.415,22.625833333333333,58.71666666666666,6.239166666666667,2.2661111111111083
2023-01-01,Argentina,10.93,63.25,20.43,5.39,100.0,12.434166666666668,23.043333333333333,58.489166666666655,6.030833333333334,-0.6280555555555551
2023-02-01,Argentina,11.540000000000001,59.06,23.42,5.9799999999999995,100.00000000000001,12.403333333333336,23.88083333333333,57.931666666666665,5.781666666666667,2.498333333333335
2023-03-01,Argentina,10.1,59.44,25.22,5.24,99.99999999999999,12.112500000000002,24.709166666666665,57.57833333333334,5.596666666666667,4.305555555555554
2023-04-01,Argentina,13.709999999999999,53.4,24.92,7.959999999999999,99.99,12.099166666666667,24.983333333333334,57.251666666666665,5.661666666666666,3.8533333333333353
2023-05-01,Argentina,12.51,60.6,19.7,7.1899999999999995,100.0,12.171666666666667,24.9175,57.17166666666666,5.734999999999999,-1.5119444444444454
2023-06-01,Argentina,12.139999999999999,61.8,19.52,6.529999999999999,99.99,12.3575,24.5025,57.3725,5.764166666666667,-1.6405555555555544
2023-07-01,Argentina,10.419999999999998,52.28,30.7,6.6000000000000005,100.0,12.261666666666665,25.325000000000003,56.68083333333333,5.728333333333333,9.684166666666666
2023-08-01,Argentina,13.86,44.46,34.78,6.890000000000001,99.99,12.38,26.222499999999997,55.870000000000005,5.523333333333333,13.731944444444444
2023-09-01,Argentina,12.66,41.39,37.87,8.09,100.01,12.281666666666666,27.4025,54.77916666666667,5.533333333333334,16.523611111111112
2023-10-01,Argentina,15.12,36.98,39.16,8.74,99.99999999999999,12.280833333333334,27.662499999999998,53.92333333333334,6.13,17.44055555555555
2023-11-01,Argentina,15.62,42.19,33.82,8.37,100.0,12.549166666666666,27.745833333333334,52.9675,6.734166666666667,11.625555555555557
2023-12-01,Argentina,13.03,42.35,35.02,9.6,100.0,12.636666666666668,28.713333333333335,51.43333333333333,7.215,12.386944444444449
2024-01-01,Argentina,12.32,50.54,28.22,8.930000000000001,100.01,12.7525,29.3625,50.37416666666667,7.510000000000001,5.115555555555556
2024-02-01,Argentina,11.23,57.27,23.21,8.3,100.01,12.726666666666667,29.345,50.225,7.703333333333333,-0.19138888888888772
2024-03-01,Argentina,13.72,55.61,20.98,9.690000000000001,100.0,13.02833333333333,28.99166666666667,49.90583333333333,8.074166666666667,-2.390833333333333
2024-04-01,Argentina,15.81,49.9,23.05,11.24,99.99999999999999,13.203333333333333,28.835833333333337,49.61416666666667,8.3475,-0.39166666666666927
2024-05-01,Argentina,10.940000000000001,51.5,27.59,9.950000000000001,99.98,13.072499999999998,29.493333333333336,48.85583333333333,8.577499999999999,3.9463888888888903
2024-06-01,Argentina,13.030000000000001,54.94,20.81,11.23,100.01,13.146666666666667,29.60083333333333,48.284166666666664,8.969166666666668,-3.073055555555559
2024-07-01,Argentina,12.57,50.91,26.39,10.129999999999999,100.0,13.325833333333334,29.241666666666664,48.169999999999995,9.263333333333334,2.3377777777777773
2024-08-01,Argentina,13.37,54.45,24.85,7.33,100.0,13.285000000000002,28.41416666666667,49.0025,9.299999999999999,0.46805555555555856
2024-09-01,Argentina,18.009999999999998,56.69,19.62,5.6899999999999995,100.00999999999999,13.730833333333335,26.893333333333334,50.277499999999996,9.1,-5.086388888888887
2024-10-01,Argentina,16.740000000000002,53.34,25.25,4.67,100.00000000000001,13.865833333333333,25.734166666666667,51.640833333333326,8.760833333333332,0.571666666666669
2024-11-01,Argentina,17.64,53.02,25.0,4.35,100.00999999999999,14.034166666666666,24.999166666666667,52.54333333333333,8.425833333333333,0.24722222222222
2024-12-01,Argentina,16.15,48.79,28.54,6.53,100.00999999999999,14.294166666666667,24.459166666666665,53.080000000000005,8.17,3.6238888888888887
2025-01-01,Argentina,13.76,60.47,18.61,7.17,100.01,14.414166666666667,23.65833333333333,53.907500000000006,8.023333333333335,-6.656111111111109
2025-02-01,Argentina,13.75,61.72,17.62,6.91,100.0,14.624166666666667,23.1925,54.27833333333333,7.9075,-7.734722222222221
2025-03-01,Argentina,15.09,58.38,18.08,8.459999999999999,100.01,14.738333333333335,22.950833333333332,54.509166666666665,7.805,-7.392777777777781
2025-04-01,Argentina,17.44,52.51,20.16,9.88,99.99,14.874166666666667,22.709999999999997,54.72666666666666,7.691666666666667,-5.390555555555558
2025-05-01,Argentina,16.77,52.25,21.54,9.450000000000001,100.01,15.360000000000001,22.205833333333334,54.78916666666666,7.650000000000001,-3.9697222222222237
2025-06-01,Argentina,14.77,50.4,26.97,7.86,99.99999999999999,15.505,22.719166666666666,54.410833333333336,7.3691666666666675,1.4311111111111074
2025-07-01,Argentina,15.26,53.71,22.44,8.58,99.99,15.729166666666666,22.39,54.64416666666667,7.240000000000001,-3.1675000000000004
2025-08-01,Argentina,16.52,52.85,21.19,9.430000000000001,99.99000000000001,15.991666666666665,22.084999999999997,54.51083333333333,7.415,-4.46222222222222
2025-09-01,Argentina,19.810000000000002,44.14,26.2,9.85,100.0,16.141666666666666,22.63333333333333,53.465,7.761666666666667,0.6261111111111113
2025-10-01,Argentina,22.25,40.02,27.93,9.799999999999999,100.0,16.60083333333333,22.856666666666666,52.355,8.189166666666667,2.286944444444444
2019-01-01,Bolivia,2.5,57.5,38.75,1.25,100.0,,,,,
2019-02-01,Bolivia,1.35,60.81,37.84,0.0,100.0,,,,,
2019-03-01,Bolivia,1.27,59.49,39.24,0.0,100.0,,,,,
2019-04-01,Bolivia,1.28,58.97,39.74,0.0,99.99000000000001,,,,,
2019-05-01,Bolivia,2.54,64.56,32.91,0.0,100.00999999999999,,,,,
2019-06-01,Bolivia,2.64,65.79,30.26,1.32,100.00999999999999,,,,,
2019-07-01,Bolivia,2.56,66.67,28.21,2.56,100.0,,,,,
2019-08-01,Bolivia,2.5,67.5,26.25,3.75,100.0,,,,,
2019-09-01,Bolivia,3.66,67.07,25.61,3.66,99.99999999999999,,,,,
2019-10-01,Bolivia,3.57,59.52,33.33,3.57,99.99,,,,,
2019-11-01,Bolivia,2.6,58.44,36.36,2.6,100.0,,,,,
2019-12-01,Bolivia,2.38,57.14,40.48,0.0,100.0,2.404166666666667,34.08166666666667,61.955000000000005,1.5591666666666668,
2020-01-01,Bolivia,2.3,56.32,41.38,0.0,100.0,2.3874999999999997,34.30083333333334,61.85666666666666,1.455,
2020-02-01,Bolivia,2.6,53.25,44.16,0.0,100.00999999999999,2.4916666666666667,34.82749999999999,61.22666666666667,1.455,
2020-03-01,Bolivia,2.41,57.83,39.76,0.0,100.0,2.5866666666666664,34.87083333333333,61.08833333333334,1.455,
2020-04-01,Bolivia,3.28,55.74,40.98,0.0,100.0,2.7533333333333334,34.97416666666667,60.81916666666667,1.455,
2020-05-01,Bolivia,3.17,65.08,31.75,0.0,100.0,2.8058333333333336,34.8775,60.86249999999999,1.455,
2020-06-01,Bolivia,4.35,62.32,31.88,1.45,100.0,2.948333333333333,35.012499999999996,60.57333333333333,1.4658333333333333,
2020-07-01,Bolivia,4.2299999999999995,63.38,30.99,1.41,100.00999999999999,3.0875,35.244166666666665,60.29916666666667,1.37,
2020-08-01,Bolivia,4.11,63.01,28.77,4.11,100.0,3.2216666666666662,35.454166666666666,59.92499999999999,1.4000000000000001,
2020-09-01,Bolivia,3.84,65.38,26.92,3.85,99.99,3.2366666666666664,35.56333333333333,59.784166666666664,1.4158333333333335,
2020-10-01,Bolivia,3.37,69.66,24.72,2.25,100.0,3.22,34.84583333333333,60.62916666666666,1.3058333333333334,
2020-11-01,Bolivia,3.49,77.91,16.28,2.33,100.01,3.294166666666667,33.1725,62.251666666666665,1.2833333333333334,
2020-12-01,Bolivia,2.35,67.06,29.41,1.18,100.00000000000001,3.2916666666666665,32.25,63.078333333333326,1.3816666666666666,
2021-01-01,Bolivia,2.53,51.9,45.57,0.0,100.0,3.310833333333333,32.59916666666667,62.71,1.3816666666666666,
2021-02-01,Bolivia,4.0,52.0,44.0,0.0,100.0,3.4274999999999998,32.58583333333333,62.60583333333333,1.3816666666666666,
2021-03-01,Bolivia,3.53,55.29,41.18,0.0,100.0,3.5208333333333335,32.70416666666667,62.39416666666667,1.3816666666666666,
2021-04-01,Bolivia,3.7,53.09,43.21,0.0,100.0,3.5558333333333336,32.89,62.173333333333325,1.3816666666666666,
2021-05-01,Bolivia,4.93,67.9,27.16,0.0,99.99000000000001,3.7024999999999992,32.5075,62.40833333333334,1.3816666666666666,
2021-06-01,Bolivia,5.13,62.82,29.49,2.56,100.0,3.7675,32.30833333333333,62.449999999999996,1.4741666666666664,
2021-07-01,Bolivia,4.88,63.41,26.83,4.88,99.99999999999999,3.8216666666666668,31.961666666666662,62.45250000000001,1.7633333333333334,
2021-08-01,Bolivia,4.81,63.86,26.51,4.82,100.0,3.8799999999999994,31.773333333333337,62.52333333333333,1.8225,
2021-09-01,Bolivia,5.82,65.12,24.42,4.65,100.01000000000002,4.045,31.564999999999998,62.501666666666665,1.8891666666666664,
2021-10-01,Bolivia,4.44,67.78,24.44,3.33,99.99,4.134166666666666,31.541666666666668,62.345,1.9791666666666667,
2021-11-01,Bolivia,5.82,72.09,20.93,1.16,100.0,4.328333333333334,31.929166666666664,61.85999999999999,1.8816666666666668,
2021-12-01,Bolivia,4.44,57.78,37.78,0.0,100.0,4.5025,32.62666666666667,61.08666666666667,1.7833333333333334,
2022-01-01,Bolivia,7.7,56.04,36.26,0.0,100.0,4.933333333333334,31.85083333333333,61.43166666666667,1.7833333333333334,3.2738888888888837
2022-02-01,Bolivia,7.14,59.52,33.33,0.0,99.99000000000001,5.195,30.961666666666662,62.05833333333334,1.7833333333333334,0.41305555555555173
2022-03-01,Bolivia,7.86,55.06,37.08,0.0,100.0,5.555833333333333,30.620000000000005,62.03916666666667,1.7833333333333334,4.288333333333334
2022-04-01,Bolivia,8.14,55.81,36.05,0.0,100.0,5.925833333333333,30.02333333333333,62.26583333333334,1.7833333333333334,3.318333333333328
2022-05-01,Bolivia,8.24,58.82,31.76,1.18,100.0,6.201666666666667,30.406666666666666,61.509166666666665,1.8816666666666668,-0.8691666666666684
2022-06-01,Bolivia,8.54,58.54,30.49,2.44,100.00999999999999,6.485833333333333,30.49,61.1525,1.8716666666666668,-2.107222222222223
2022-07-01,Bolivia,10.11,61.8,25.84,2.25,100.0,6.921666666666667,30.4075,61.01833333333334,1.6524999999999999,-6.763611111111114
2022-08-01,Bolivia,9.09,63.64,23.86,3.41,100.0,7.278333333333333,30.186666666666664,61.00000000000001,1.535,-8.677777777777777
2022-09-01,Bolivia,7.96,65.91,22.73,3.41,100.00999999999999,7.456666666666667,30.045833333333334,61.06583333333334,1.4316666666666666,-9.741388888888888
2022-10-01,Bolivia,6.46,76.34,15.05,2.15,100.00000000000001,7.625,29.263333333333335,61.77916666666667,1.3333333333333333,-17.34138888888889
2022-11-01,Bolivia,5.43,79.35,15.22,0.0,100.0,7.5925,28.787499999999998,62.38416666666666,1.2366666666666666,-16.66361111111111
2022-12-01,Bolivia,6.18,75.26,18.56,0.0,100.0,7.7375,27.18583333333333,63.84083333333333,1.2366666666666666,-12.736388888888893
2023-01-01,Bolivia,6.38,70.21,23.4,0.0,99.99,7.6275,26.114166666666666,65.02166666666666,1.2366666666666666,-7.287500000000001
2023-02-01,Bolivia,7.22,65.06,27.71,0.0,99.99000000000001,7.634166666666666,25.645833333333332,65.48333333333333,1.2366666666666666,-2.478055555555553
2023-03-01,Bolivia,6.12,70.41,23.47,0.0,100.0,7.489166666666666,24.511666666666667,66.7625,1.2366666666666666,-6.261111111111109
2023-04-01,Bolivia,6.74,69.66,23.6,0.0,100.0,7.3725,23.474166666666665,67.91666666666667,1.2366666666666666,-5.67861111111111
2023-05-01,Bolivia,6.74,74.16,19.1,0.0,100.0,7.2475,22.419166666666666,69.195,1.1383333333333334,-9.695833333333333
2023-06-01,Bolivia,8.14,75.58,16.28,0.0,100.0,7.214166666666666,21.235,70.615,0.9349999999999999,-12.164444444444442
2023-07-01,Bolivia,7.7700000000000005,73.33,16.67,2.22,99.99,7.019166666666667,20.470833333333335,71.57583333333334,0.9325,-11.341111111111108
2023-08-01,Bolivia,8.51,74.47,13.83,3.19,100.0,6.970833333333334,19.635,72.47833333333332,0.9141666666666666,-13.783333333333333
2023-09-01,Bolivia,9.280000000000001,74.23,13.4,3.09,100.0,7.0808333333333335,18.8575,73.17166666666667,0.8874999999999998,-13.798333333333334
2023-10-01,Bolivia,7.84,73.53,16.67,1.96,100.0,7.195833333333334,18.9925,72.9375,0.8716666666666667,-10.152777777777775
