Year,VRE_TWh,Hydro_TWh,OtherClean_TWh,Fossil_TWh,Demand_TWh,ΔVRE_TWh,ΔHydro_TWh,ΔOtherClean_TWh,ΔFossil_TWh,ΔDemand_TWh,ΔGen_sum_TWh
2000,0.26,584.24,41.370000000000005,381.98,1007.85,,,,,,0.0
2001,0.34,542.88,53.230000000000004,402.77,999.22,0.08000000000000002,-41.360000000000014,11.86,20.789999999999964,-8.629999999999995,-8.630000000000052
2002,0.47000000000000003,564.32,53.83,411.8,1030.42,0.13,21.440000000000055,0.5999999999999943,9.03000000000003,31.200000000000045,31.200000000000077
2003,0.53,582.78,58.47,435.97,1077.75,0.06,18.459999999999923,4.640000000000001,24.170000000000016,47.32999999999993,47.32999999999994
2004,0.55,611.02,57.28,464.41,1133.26,0.020000000000000018,28.24000000000001,-1.1899999999999977,28.439999999999998,55.50999999999999,55.510000000000005
2005,0.53,647.77,58.06,476.41,1182.77,-0.020000000000000018,36.75,0.7800000000000011,12.0,49.50999999999999,49.51
2006,0.8,678.01,63.42,493.4,1235.63,0.27,30.24000000000001,5.359999999999999,16.989999999999952,52.86000000000013,52.85999999999996
2007,1.3800000000000001,696.59,67.25999999999999,524.53,1289.76,0.5800000000000001,18.58000000000004,3.839999999999989,31.129999999999995,54.12999999999988,54.130000000000024
2008,1.9100000000000001,712.58,70.97,546.94,1332.4,0.53,15.990000000000009,3.710000000000008,22.410000000000082,42.6400000000001,42.6400000000001
2009,2.7,716.97,75.83,541.62,1337.12,0.79,4.389999999999986,4.859999999999999,-5.32000000000005,4.7199999999998,4.719999999999935
2010,4.7,730.32,82.53,587.7,1405.25,2.0,13.350000000000023,6.700000000000003,46.08000000000004,68.13000000000011,68.13000000000007
2011,6.0600000000000005,772.23,89.46,594.14,1461.89,1.3600000000000003,41.90999999999997,6.929999999999993,6.439999999999941,56.6400000000001,56.6399999999999
2012,11.790000000000001,752.94,92.78,662.64,1520.15,5.73,-19.289999999999964,3.3200000000000074,68.5,58.25999999999999,58.26000000000005
2013,15.01,734.59,102.33000000000001,719.77,1571.7,3.219999999999999,-18.350000000000023,9.550000000000011,57.129999999999995,51.549999999999955,51.54999999999998
2014,26.35,704.2,106.37,734.65,1571.57,11.340000000000002,-30.389999999999986,4.039999999999992,14.879999999999995,-0.13000000000010914,-0.12999999999999545
2015,43.17,697.0,113.62,758.13,1611.92,16.82,-7.2000000000000455,7.25,23.480000000000018,40.350000000000136,40.34999999999997
2016,60.68,713.94,117.22999999999999,736.72,1628.57,17.509999999999998,16.940000000000055,3.609999999999985,-21.409999999999968,16.649999999999864,16.65000000000007
2017,75.16,725.01,116.44,713.59,1630.2,14.479999999999997,11.069999999999936,-0.789999999999992,-23.129999999999995,1.6300000000001091,1.6299999999999457
2018,94.05,743.08,120.73,710.73,1668.59,18.89,18.07000000000005,4.290000000000006,-2.8600000000000136,38.38999999999987,38.39000000000004
2019,124.28,715.61,122.34,717.81,1680.04,30.230000000000004,-27.470000000000027,1.6099999999999994,7.079999999999927,11.450000000000045,11.449999999999903
2020,146.45,718.19,127.0,647.59,1639.23,22.169999999999987,2.580000000000041,4.659999999999997,-70.21999999999991,-40.809999999999945,-40.80999999999989
2021,184.18,703.28,126.68,687.66,1701.8,37.73000000000002,-14.910000000000082,-0.3199999999999932,40.069999999999936,62.569999999999936,62.56999999999988
2022,215.84000000000003,771.25,120.9,624.3,1732.29,31.660000000000025,67.97000000000003,-5.780000000000001,-63.360000000000014,30.49000000000001,30.490000000000038
2023,264.49,759.34,126.19,639.13,1789.15,48.64999999999998,-11.909999999999968,5.289999999999992,14.830000000000041,56.86000000000013,56.86000000000004
2024,309.90999999999997,747.51,130.37,651.73,1839.52,45.41999999999996,-11.830000000000041,4.180000000000007,12.600000000000023,50.36999999999989,50.36999999999995
