Year,ΔVRE_TWh,ΔHydro_TWh,ΔOtherClean_TWh,ΔFossil_TWh,ΔDemand_TWh,ΔGen_sum_TWh
2000,,,,,,0.0
2001,0.08000000000000002,-41.360000000000014,11.86,20.789999999999964,-8.629999999999995,-8.630000000000052
2002,0.13,21.440000000000055,0.5999999999999943,9.03000000000003,31.200000000000045,31.200000000000077
2003,0.06,18.459999999999923,4.640000000000001,24.170000000000016,47.32999999999993,47.32999999999994
2004,0.020000000000000018,28.24000000000001,-1.1899999999999977,28.439999999999998,55.50999999999999,55.510000000000005
2005,-0.020000000000000018,36.75,0.7800000000000011,12.0,49.50999999999999,49.51
2006,0.27,30.24000000000001,5.359999999999999,16.989999999999952,52.86000000000013,52.85999999999996
2007,0.5800000000000001,18.58000000000004,3.839999999999989,31.129999999999995,54.12999999999988,54.130000000000024
2008,0.53,15.990000000000009,3.710000000000008,22.410000000000082,42.6400000000001,42.6400000000001
2009,0.79,4.389999999999986,4.859999999999999,-5.32000000000005,4.7199999999998,4.719999999999935
2010,2.0,13.350000000000023,6.700000000000003,46.08000000000004,68.13000000000011,68.13000000000007
2011,1.3600000000000003,41.90999999999997,6.929999999999993,6.439999999999941,56.6400000000001,56.6399999999999
2012,5.73,-19.289999999999964,3.3200000000000074,68.5,58.25999999999999,58.26000000000005
2013,3.219999999999999,-18.350000000000023,9.550000000000011,57.129999999999995,51.549999999999955,51.54999999999998
2014,11.340000000000002,-30.389999999999986,4.039999999999992,14.879999999999995,-0.13000000000010914,-0.12999999999999545
2015,16.82,-7.2000000000000455,7.25,23.480000000000018,40.350000000000136,40.34999999999997
2016,17.509999999999998,16.940000000000055,3.609999999999985,-21.409999999999968,16.649999999999864,16.65000000000007
2017,14.479999999999997,11.069999999999936,-0.789999999999992,-23.129999999999995,1.6300000000001091,1.6299999999999457
2018,18.89,18.07000000000005,4.290000000000006,-2.8600000000000136,38.38999999999987,38.39000000000004
2019,30.230000000000004,-27.470000000000027,1.6099999999999994,7.079999999999927,11.450000000000045,11.449999999999903
2020,22.169999999999987,2.580000000000041,4.659999999999997,-70.21999999999991,-40.809999999999945,-40.80999999999989
2021,37.73000000000002,-14.910000000000082,-0.3199999999999932,40.069999999999936,62.569999999999936,62.56999999999988
2022,31.660000000000025,67.97000000000003,-5.780000000000001,-63.360000000000014,30.49000000000001,30.490000000000038
2023,48.64999999999998,-11.909999999999968,5.289999999999992,14.830000000000041,56.86000000000013,56.86000000000004
2024,45.41999999999996,-11.830000000000041,4.180000000000007,12.600000000000023,50.36999999999989,50.36999999999995
