area,year,variable_type,source,value,unit
América Latina y el Caribe,2012,capacity,Hidroenergía,160089.7943,MW
América Latina y el Caribe,2012,capacity,Geotermia,1428.498,MW
América Latina y el Caribe,2012,capacity,Eólica,3436.11756,MW
América Latina y el Caribe,2012,capacity,Nuclear,4622,MW
América Latina y el Caribe,2012,capacity,Solar,107.330984,MW
América Latina y el Caribe,2012,capacity,Térmica no renovable,138765.782,MW
América Latina y el Caribe,2012,capacity,Térmica renovable,11965.54026,MW
América Latina y el Caribe,2013,capacity,Hidroenergía,162575.1713,MW
América Latina y el Caribe,2013,capacity,Geotermia,1429.899,MW
América Latina y el Caribe,2013,capacity,Eólica,4971.43185,MW
América Latina y el Caribe,2013,capacity,Nuclear,4400,MW
América Latina y el Caribe,2013,capacity,Solar,180.4923,MW
América Latina y el Caribe,2013,capacity,Térmica no renovable,156420.6808,MW
América Latina y el Caribe,2013,capacity,Térmica renovable,14199.93449,MW
América Latina y el Caribe,2014,capacity,Hidroenergía,168314.2909,MW
América Latina y el Caribe,2014,capacity,Geotermia,1423.315,MW
América Latina y el Caribe,2014,capacity,Eólica,9292.233,MW
América Latina y el Caribe,2014,capacity,Nuclear,4915,MW
América Latina y el Caribe,2014,capacity,Solar,486.5833126,MW
América Latina y el Caribe,2014,capacity,Térmica no renovable,156066.4842,MW
América Latina y el Caribe,2014,capacity,Térmica renovable,16405.8374,MW
América Latina y el Caribe,2015,capacity,Hidroenergía,172792.3467,MW
América Latina y el Caribe,2015,capacity,Geotermia,1493.861,MW
América Latina y el Caribe,2015,capacity,Eólica,13795.65887,MW
América Latina y el Caribe,2015,capacity,Nuclear,5230.3,MW
América Latina y el Caribe,2015,capacity,Solar,1434.685426,MW
América Latina y el Caribe,2015,capacity,Térmica no renovable,160467.6977,MW
América Latina y el Caribe,2015,capacity,Térmica renovable,17889.36415,MW
América Latina y el Caribe,2016,capacity,Hidroenergía,182287.7406,MW
América Latina y el Caribe,2016,capacity,Geotermia,1508.36,MW
América Latina y el Caribe,2016,capacity,Eólica,18032.10212,MW
América Latina y el Caribe,2016,capacity,Nuclear,5353,MW
América Latina y el Caribe,2016,capacity,Solar,2491.627763,MW
América Latina y el Caribe,2016,capacity,Térmica no renovable,168151.2277,MW
América Latina y el Caribe,2016,capacity,Térmica renovable,19663.50164,MW
América Latina y el Caribe,2017,capacity,Hidroenergía,186277.4231,MW
América Latina y el Caribe,2017,capacity,Geotermia,1588.36,MW
América Latina y el Caribe,2017,capacity,Eólica,21094.62846,MW
América Latina y el Caribe,2017,capacity,Nuclear,5353,MW
América Latina y el Caribe,2017,capacity,Solar,5103.445083,MW
América Latina y el Caribe,2017,capacity,Térmica no renovable,164085.3699,MW
América Latina y el Caribe,2017,capacity,Térmica renovable,19790.70363,MW
América Latina y el Caribe,2018,capacity,Hidroenergía,191271.4613,MW
América Latina y el Caribe,2018,capacity,Geotermia,1583.87,MW
América Latina y el Caribe,2018,capacity,Eólica,25256.93226,MW
América Latina y el Caribe,2018,capacity,Nuclear,5353,MW
América Latina y el Caribe,2018,capacity,Solar,8828.940965,MW
América Latina y el Caribe,2018,capacity,Térmica no renovable,168053.0343,MW
América Latina y el Caribe,2018,capacity,Térmica renovable,20491.88509,MW
América Latina y el Caribe,2019,capacity,Hidroenergía,196647.4136,MW
América Latina y el Caribe,2019,capacity,Geotermia,1635.11,MW
América Latina y el Caribe,2019,capacity,Eólica,28885.73372,MW
América Latina y el Caribe,2019,capacity,Nuclear,5353,MW
América Latina y el Caribe,2019,capacity,Solar,13777.55917,MW
América Latina y el Caribe,2019,capacity,Térmica no renovable,173810.0916,MW
América Latina y el Caribe,2019,capacity,Térmica renovable,20628.08381,MW
América Latina y el Caribe,2020,capacity,Hidroenergía,196979.356,MW
América Latina y el Caribe,2020,capacity,Geotermia,1687.81,MW
América Latina y el Caribe,2020,capacity,Eólica,32550.51521,MW
América Latina y el Caribe,2020,capacity,Nuclear,5353,MW
América Latina y el Caribe,2020,capacity,Solar,20056.37135,MW
América Latina y el Caribe,2020,capacity,Térmica no renovable,174106.6784,MW
América Latina y el Caribe,2020,capacity,Térmica renovable,21844.14319,MW
América Latina y el Caribe,2021,capacity,Hidroenergía,199442.8933,MW
América Latina y el Caribe,2021,capacity,Geotermia,1747.79,MW
América Latina y el Caribe,2021,capacity,Eólica,38441.12381,MW
América Latina y el Caribe,2021,capacity,Nuclear,5353,MW
América Latina y el Caribe,2021,capacity,Solar,29907.16375,MW
América Latina y el Caribe,2021,capacity,Térmica no renovable,176096.1046,MW
América Latina y el Caribe,2021,capacity,Térmica renovable,22619.05862,MW
América Latina y el Caribe,2022,capacity,Hidroenergía,201074.6892,MW
América Latina y el Caribe,2022,capacity,Geotermia,1772.33,MW
América Latina y el Caribe,2022,capacity,Eólica,42457.83243,MW
América Latina y el Caribe,2022,capacity,Nuclear,5353,MW
América Latina y el Caribe,2022,capacity,Solar,43707.63667,MW
América Latina y el Caribe,2022,capacity,Térmica no renovable,177551.0261,MW
América Latina y el Caribe,2022,capacity,Térmica renovable,23714.54329,MW
América Latina y el Caribe,2023,capacity,Hidroenergía,203213.454,MW
América Latina y el Caribe,2023,capacity,Geotermia,1782.22762,MW
América Latina y el Caribe,2023,capacity,Eólica,48915.34941,MW
América Latina y el Caribe,2023,capacity,Nuclear,5353,MW
América Latina y el Caribe,2023,capacity,Solar,60074.39865,MW
América Latina y el Caribe,2023,capacity,Térmica no renovable,179966.1516,MW
América Latina y el Caribe,2023,capacity,Térmica renovable,24090.65477,MW
América Latina y el Caribe,2024,capacity,Hidroenergía,201963.8368,MW
América Latina y el Caribe,2024,capacity,Geotermia,1770.294,MW
América Latina y el Caribe,2024,capacity,Eólica,50316.47004,MW
América Latina y el Caribe,2024,capacity,Nuclear,5353,MW
América Latina y el Caribe,2024,capacity,Solar,79381.98424,MW
América Latina y el Caribe,2024,capacity,Térmica no renovable,178965.7198,MW
América Latina y el Caribe,2024,capacity,Térmica renovable,24059.45703,MW
